,ID,Area,City,Restaurant,Price,Avg ratings,Total ratings,Food type,Address,Delivery time
16599,426072,Pitampura,Delhi,The Yellow Bowl,200.0,4.4,20,Chinese,Nsp,48
16600,426072,Pitampura,Delhi,The Yellow Bowl,200.0,4.4,20,Italian,Nsp,48
16601,426106,Perambur,Chennai,Mr.Burger,280.0,2.9,80,Pizzas,Perambur,59
16602,426106,Perambur,Chennai,Mr.Burger,280.0,2.9,80,Pastas,Perambur,59
16603,426106,Perambur,Chennai,Mr.Burger,280.0,2.9,80,Indian,Perambur,59
16604,426166,Matunga East,Mumbai,Myfroyoland,400.0,4.7,20,Desserts,Matunga Wadala,53
16605,426166,Matunga East,Mumbai,Myfroyoland,400.0,4.7,20,Ice Cream,Matunga Wadala,53
16606,426223,Alipore,Kolkata,Taza Home Made Food,299.0,2.9,80,Chinese,Alipore,76
16607,426232,Athwa,Surat,Rangila Vadapav And Fast Food,150.0,3.9,20,Fast Food,Athwa,40
16608,426232,Athwa,Surat,Rangila Vadapav And Fast Food,150.0,3.9,20,Pizzas,Athwa,40
16609,426232,Athwa,Surat,Rangila Vadapav And Fast Food,150.0,3.9,20,Pastas,Athwa,40
16610,426232,Athwa,Surat,Rangila Vadapav And Fast Food,150.0,3.9,20,Snacks,Athwa,40
16611,426282,Kurla,Mumbai,Delicious Chinese,250.0,2.9,80,North Indian,Kurla,34
16612,426282,Kurla,Mumbai,Delicious Chinese,250.0,2.9,80,Chinese,Kurla,34
16613,426357,Marol Sakinaka,Mumbai,Food Trotters,350.0,2.9,80,American,Marol Sakinaka,60
16614,426357,Marol Sakinaka,Mumbai,Food Trotters,350.0,2.9,80,Continental,Marol Sakinaka,60
16615,426357,Marol Sakinaka,Mumbai,Food Trotters,350.0,2.9,80,Italian,Marol Sakinaka,60
16616,426357,Marol Sakinaka,Mumbai,Food Trotters,350.0,2.9,80,Fast Food,Marol Sakinaka,60
16617,426393,Indiranagar,Bangalore,Sree Venkateshwara Foods,500.0,3.8,50,Hyderabadi,Indiranagar,51
16618,426393,Indiranagar,Bangalore,Sree Venkateshwara Foods,500.0,3.8,50,Andhra,Indiranagar,51
16619,426393,Indiranagar,Bangalore,Sree Venkateshwara Foods,500.0,3.8,50,Continental,Indiranagar,51
16620,426449,Jadavpur,Kolkata,La Cantonese,400.0,2.9,80,Chinese,Jadavpur,96
16621,426449,Jadavpur,Kolkata,La Cantonese,400.0,2.9,80,Desserts,Jadavpur,96
16622,426476,Manohar Pukur Road,Kolkata,Flavourable,300.0,2.9,80,Chinese,Manohar Pukur Road,70
16623,426476,Manohar Pukur Road,Kolkata,Flavourable,300.0,2.9,80,North Indian,Manohar Pukur Road,70
16624,426476,Manohar Pukur Road,Kolkata,Flavourable,300.0,2.9,80,Beverages,Manohar Pukur Road,70
16625,426507,Annanagar,Chennai,Mahtab,900.0,2.9,80,North Indian,Annanagar,72
16626,426507,Annanagar,Chennai,Mahtab,900.0,2.9,80,Desserts,Annanagar,72
16627,426627,Chembur,Mumbai,Artinci - Indulge Guilt Free!,250.0,4.5,20,Healthy Food,Chembur,47
